P0,P1,P2,P3,P4
1,3,5,1,4
5,4,8,3,6
5,6,19,4,7
6,9,20,5,8
7,11,43,6,9
8,17,47,28,10
9,24,69,32,11
15,25,71,35,12
20,26,73,36,22
25,38,76,63,23
45,50,79,66,25
48,51,85,78,31
49,52,96,139,37
57,65,117,140,38
66,67,118,141,41
68,87,129,142,50
72,88,135,143,66
75,95,143,144,67
76,99,156,145,70
81,100,175,163,72
,102,179,172,74
,119,189,177,101
,122,,183,108
,132,,189,109
,156,,190,114
,158,,196,115
,160,,199,119
,170,,201,122
,,,,125
,,,,136
,,,,160
,,,,165
,,,,170
,,,,172
,,,,176
,,,,178
,,,,186
,,,,187
,,,,197
,,,,199
,,,,206
,,,,207
,,,,208
,,,,209
