Stim,Median,Pharm
to 15,,
15 to 4,,
fast 50,,
fast cold,,
fast 50,,
slow 50,1,
fast 42,,
2.0g VF 1-1,1,
2.0g VF 1-2,,
2.0g VF 1-3,,
2.0g VF 1-4,,
2.0g VF 2-1,,
2.0g VF 2-2,,
2.0g VF 2-3,,
2.0g VF 2-4,,
2.0g VF 3-1,,
2.0g VF 3-2,,
2.0g VF 3-3,,
2.0g VF 3-4,,
2.0g VF 4-1,,
2.0g VF 4-2,,
2.0g VF 4-3,,
2.0g VF 4-4,,
DRGS 200,,
DRGS 400,,
DRGS 600,,
DRGS 800,,
DRGS 1200,,
TD_1-1_B1_0,,
5mN_1-1_B1_1,,
TD_1-2_B1_0,,
5mN_1-2_B1_1,,
TD_1-3_B1_0,,
5mN_1-3_B1_1,,
TD_2-3_B1_0,,
5mN_2-3_B1_1,,
TD_2-2_B1_0,,
5mN_2-2_B1_1,,
TD_2-1_B1_0,,
5mN_2-1_B1_1,,
TD_3-1_B1_0,,
5mN_3-1_B1_1,,
TD_3-2_B1_0,,
5mN_3-2_B1_1,,
TD_3-3_B1_0,,
5mN_3-3_B1_1,,
TD_1-1_B1_0,,
15mN_1-1_B1_1,,
TD_1-2_B1_0,,
15mN_1-2_B1_1,,
TD_1-3_B1_0,,
15mN_1-3_B1_1,,
TD_2-3_B1_0,,
15mN_2-3_B1_1,,
TD_2-2_B1_0,,
15mN_2-2_B1_1,,
TD_2-1_B1_0,,
15mN_2-1_B1_1,,
TD_3-1_B1_0,,
15mN_3-1_B1_1,,
TD_3-2_B1_0,,
15mN_3-2_B1_1,,
TD_3-3_B1_0,,
15mN_3-3_B1_1,,
TD_1-1_B1_0,,
45mN_1-1_B1_1,,
TD_1-2_B1_0,,
45mN_1-2_B1_1,,
TD_1-3_B1_0,,
45mN_1-3_B1_1,,
TD_2-3_B1_0,,
45mN_2-3_B1_1,,
TD_2-2_B1_0,,
45mN_2-2_B1_1,,
TD_2-1_B1_0,,
45mN_2-1_B1_1,,
TD_3-1_B1_0,,
45mN_3-1_B1_1,,
TD_3-2_B1_0,,
45mN_3-2_B1_1,,
TD_3-3_B1_0,,
45mN_3-3_B1_1,,
TD_1-1_B2_0,1,
5mN_1-1_B2_1,,
TD_1-2_B2_0,,
5mN_1-2_B2_1,,
TD_1-3_B2_0,,
5mN_1-3_B2_1,,
TD_2-3_B2_0,,
5mN_2-3_B2_1,,
TD_2-2_B2_0,,
5mN_2-2_B2_1,,
TD_2-1_B2_0,,
5mN_2-1_B2_1,,
TD_3-1_B2_0,,
5mN_3-1_B2_1,,
TD_3-2_B2_0,,
5mN_3-2_B2_1,,
TD_3-3_B2_0,,
5mN_3-3_B2_1,,
TD_1-1_B2_0,,
15mN_1-1_B2_1,,
TD_1-2_B2_0,,
15mN_1-2_B2_1,,
TD_1-3_B2_0,,
15mN_1-3_B2_1,,
TD_2-3_B2_0,,
15mN_2-3_B2_1,,
TD_2-2_B2_0,,
15mN_2-2_B2_1,,
TD_2-1_B2_0,,
15mN_2-1_B2_1,,
TD_3-1_B2_0,,
15mN_3-1_B2_1,,
TD_3-2_B2_0,,
15mN_3-2_B2_1,,
TD_3-3_B2_0,,
15mN_3-3_B2_1,,
TD_1-1_B2_0,,
45mN_1-1_B2_1,,
TD_1-2_B2_0,,
45mN_1-2_B2_1,,
TD_1-3_B2_0,,
45mN_1-3_B2_1,,
TD_2-3_B2_0,,
45mN_2-3_B2_1,,
TD_2-2_B2_0,,
45mN_2-2_B2_1,,
TD_2-1_B2_0,,
45mN_2-1_B2_1,,
TD_3-1_B2_0,,
45mN_3-1_B2_1,,
TD_3-2_B2_0,,
45mN_3-2_B2_1,,
TD_3-3_B2_0,,
45mN_3-3_B2_1,,
DRGS 400-1,,
DRGS 600-1,,
DRGS 800-1,,
DRGS 1200-1,,
DRGS 1600-1,,
DRGS 3200-1,,
TD_1-1_B3_0,1,
5mN_1-1_B3_1,,
TD_1-2_B3_0,,
5mN_1-2_B3_1,,
TD_1-3_B3_0,,
5mN_1-3_B3_1,,
TD_2-3_B3_0,,
5mN_2-3_B3_1,,
TD_2-2_B3_0,,
5mN_2-2_B3_1,,
TD_2-1_B3_0,,
5mN_2-1_B3_1,,
TD_3-1_B3_0,,
5mN_3-1_B3_1,,
TD_3-2_B3_0,,
5mN_3-2_B3_1,,
TD_3-3_B3_0,,
5mN_3-3_B3_1,,
TD_1-1_B3_0,,
15mN_1-1_B3_1,,
TD_1-2_B3_0,,
15mN_1-2_B3_1,,
TD_1-3_B3_0,,
15mN_1-3_B3_1,,
TD_2-3_B3_0,,
15mN_2-3_B3_1,,
TD_2-2_B3_0,,
15mN_2-2_B3_1,,
TD_2-1_B3_0,,
15mN_2-1_B3_1,,
TD_3-1_B3_0,,
15mN_3-1_B3_1,,
TD_3-2_B3_0,,
15mN_3-2_B3_1,,
TD_3-3_B3_0,,
15mN_3-3_B3_1,,
TD_1-1_B3_0,,
45mN_1-1_B3_1,,
TD_1-2_B3_0,,
45mN_1-2_B3_1,,
TD_1-3_B3_0,,
45mN_1-3_B3_1,,
TD_2-3_B3_0,,
45mN_2-3_B3_1,,
TD_2-2_B3_0,,
45mN_2-2_B3_1,,
TD_2-1_B3_0,,
45mN_2-1_B3_1,,
TD_3-1_B3_0,,
45mN_3-1_B3_1,,
TD_3-2_B3_0,,
45mN_3-2_B3_1,,
TD_3-3_B3_0,,
45mN_3-3_B3_1,,
TD_1-1_B3_0,,
75mN_1-1_B3_1,,
TD_1-2_B3_0,,
75mN_1-2_B3_1,,
TD_1-3_B3_0,,
75mN_1-3_B3_1,,
TD_2-3_B3_0,,
75mN_2-3_B3_1,,
TD_2-2_B3_0,,
75mN_2-2_B3_1,,
TD_2-1_B3_0,,
75mN_2-1_B3_1,,
TD_3-1_B3_0,,
75mN_3-1_B3_1,,
TD_3-2_B3_0,,
75mN_3-2_B3_1,,
